N,d,l,o,r,m,estimate,target
1000,1,1.75,1.0,12,Sfit,0.015692605082400446,0.0
500,2,1.75,1.0,12,Sfit,0.03233883187118303,0.0
1000,2,1.75,1.0,12,Sfit,0.12125847564811952,0.0
500,3,1.75,1.0,12,Sfit,0.03775935687987493,0.0
1000,3,1.75,1.0,12,Sfit,-0.12677302693589587,0.0
500,4,1.75,1.0,12,Sfit,-0.20195850125650824,0.0
1000,4,1.75,1.0,12,Sfit,0.18562772446772158,0.0
500,1,0.75,1.4142135623730951,12,Sfit,0.05698911420056048,0.0
1000,1,0.75,1.4142135623730951,12,Sfit,0.049848218831938906,0.0
500,2,0.75,1.4142135623730951,12,Sfit,0.06697995081218105,0.0
1000,2,0.75,1.4142135623730951,12,Sfit,0.03276076343430826,0.0
500,3,0.75,1.4142135623730951,12,Sfit,0.24281452452685606,0.0
1000,3,0.75,1.4142135623730951,12,Sfit,-0.0590164521804033,0.0
500,4,0.75,1.4142135623730951,12,Sfit,0.08727607837975715,0.0
1000,4,0.75,1.4142135623730951,12,Sfit,-0.10901528650121325,0.0
500,1,1.75,1.4142135623730951,12,Sfit,0.033474103649335486,0.0
1000,1,1.75,1.4142135623730951,12,Sfit,0.000208548076195205,0.0
500,2,1.75,1.4142135623730951,12,Sfit,-0.0720722468790063,0.0
1000,2,1.75,1.4142135623730951,12,Sfit,0.05823294164849648,0.0
500,3,1.75,1.4142135623730951,12,Sfit,0.12197742814441731,0.0
1000,3,1.75,1.4142135623730951,12,Sfit,0.07710474836266439,0.0
500,4,1.75,1.4142135623730951,12,Sfit,0.0809116397830782,0.0
1000,4,1.75,1.4142135623730951,12,Sfit,-0.16493893690942746,0.0
500,1,0.75,1.0,13,Sfit,-0.023573195745925868,0.0
1000,1,0.75,1.0,13,Sfit,0.10977716321245844,0.0
500,2,0.75,1.0,13,Sfit,-0.024932903357517147,0.0
1000,2,0.75,1.0,13,Sfit,-0.03853473973569905,0.0
500,3,0.75,1.0,13,Sfit,0.26762962202407525,0.0
1000,3,0.75,1.0,13,Sfit,0.08678411025801025,0.0
500,4,0.75,1.0,13,Sfit,0.01177533634883157,0.0
1000,4,0.75,1.0,13,Sfit,-0.05443932266010326,0.0
